"Номер","Наименование","Субъект РФ","Полный адрес","Дата занесения в реестр"
1,"Государственное бюджетное учреждение города Москвы "Спортивный комплекс "Крылатское" Москомспорта","Москва","Крылатская ул, 16, Москва, Россия, 121609","17.11.2011"
2,"Горнолыжный комплекс "Уязы-Тау"","Республика Башкортостан","Октябрьский, Россия, 452613","19.12.2011"
3,"Здание спортивно-тренировочного центра прикладных видов спорта","Калужская область","Кирова, 100, Медынь, Россия, 249950","23.12.2011"
4,"Футбольное поле с искусственным покрытием","Республика Башкортостан","Девонская, 12 А, Октябрьский, Россия, 452600","12.01.2012"
5,"Горнолыжный центр с инженерной защитой территории, хребет Аибга, урочище Роза Хутор","Краснодарский край","Красная поляна, Сочи, Россия, 354392","23.01.2012"
6,"Открытое Акционерное Общество "Стадион "СПАРТАК"","Новосибирская область","Фрунзе, 15, Новосибирск, Россия, 630091","25.01.2012"
7,"Ледовый стадион «Сокол» Бюджетное образовательное учреждение Чувашской республики дополнительного образования детей «Специализированная детско-юношеская спортивная школа олимпийского резерва № 4 по хоккею с шайбой» Министерства по физической культуре, спорту и туризму Чувашской республики","Чувашская Республика","Жени Крутовой, 1А, Новочебоксарск, Россия, 429951","26.01.2012"
8,"Крытый велотрек "Комплекс Олимпийского Велотрека"","Санкт-Петербург","Северная дор, 12, Санкт-Петербург, Россия, 197110","26.01.2012"
9,"Спорткомплекс блок «А» - четырёхзальный корпус АУ ДОД «СДЮСШОР № 3» Минспорта Чувашии","Чувашская Республика","Винокурова, 1А, Новочебоксарск, Россия, 429951","02.02.2012"
10,"Спорткомплекс блок «Г» - 25 метровый бассейн АУ ДОД «СДЮСШОР № 3» Минспорта Чувашии","Чувашская Республика","Винокурова, 1А, Новочебоксарск, Россия, 429951","02.02.2012"
11,"Спорткомплекс блок «Д» - 50 метровый бассейн АУ ДОД «СДЮСШОР № 3» Минспорта Чувашии","Чувашская Республика","Винокурова, 1А, Новочебоксарск, Россия, 429951","02.02.2012"
12,"Спорткомплекс блок «Е» - легкоатлетический манеж АУ ДОД «СДЮСШОР № 3» Минспорта Чувашии","Чувашская Республика","Винокурова, 1А, Новочебоксарск, Россия, 429951","02.02.2012"
13,"Центральная арена стадиона "Локомотив" Московской железной дороги","Москва","Черкизовская Б. ул, 125, Москва, Россия, 107144","03.02.2012"
14,"Государственное унитарное предприятие "Стадион "Олимпийский" Министерства по физической культуре, спорту и туризму Чувашской Республики","Чувашская Республика","Чапаева, 17, Чебоксары, Россия, 428003","10.02.2012"
